id,name,manufacturer,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,rating
1,100% Bran,Nabisco,C,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973,68.402973
2,100% Natural Bran,Quaker,C,120,3,5,15,2,8,8,135,0,3,1,1,33.983679,33.983679
3,All-Bran,Kelloggs,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505,59.425505
4,All-Bran with Extra Fiber,Kelloggs,C,50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912,93.704912
5,Almond Delight,Ralston,C,110,2,2,200,1,14,8,-1,25,3,1,0.75,34.384843,34.384843
6,Apple Cinnamon Cheerios,General Mills,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541,29.509541
7,Apple Jacks,Kelloggs,C,110,2,0,125,1,11,14,30,25,2,1,1,33.174094,33.174094
8,Basic 4,General Mills,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562,37.038562
9,Bran Chex,Ralston,C,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253,49.120253
10,Bran Flakes,Post Foods,C,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813,53.313813
11,Cap'n'Crunch,Quaker,C,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851,18.042851
12,Cheerios,General Mills,C,110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999,50.764999
13,Cinnamon Toast Crunch,General Mills,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573,19.823573
14,Clusters,General Mills,C,110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208,40.400208
15,Cocoa Puffs,General Mills,C,110,1,1,180,0,12,13,55,25,2,1,1,22.736446,22.736446
16,Corn Chex,Ralston,C,110,2,0,280,0,22,3,25,25,1,1,1,41.445019,41.445019
17,Corn Flakes,Kelloggs,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324,45.863324
18,Corn Pops,Kelloggs,C,110,1,0,90,1,13,12,20,25,2,1,1,35.782791,35.782791
19,Count Chocula,General Mills,C,110,1,1,180,0,12,13,65,25,2,1,1,22.396513,22.396513
20,Cracklin' Oat Bran,Kelloggs,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772,40.448772
21,Cream of Wheat (Quick),Nabisco,H,100,3,0,80,1,21,0,-1,0,2,1,1,64.533816,64.533816
22,Crispix,Kelloggs,C,110,2,0,220,1,21,3,30,25,3,1,1,46.895644,46.895644
23,Crispy Wheat & Raisins,General Mills,C,100,2,1,140,2,11,10,120,25,3,1,0.75,36.176196,36.176196
24,Double Chex,Ralston,C,100,2,0,190,1,18,5,80,25,3,1,0.75,44.330856,44.330856
25,Froot Loops,Kelloggs,C,110,2,1,125,1,11,13,30,25,2,1,1,32.207582,32.207582
26,Frosted Flakes,Kelloggs,C,110,1,0,200,1,14,11,25,25,1,1,0.75,31.435973,31.435973
27,Frosted Mini-Wheats,Kelloggs,C,100,3,0,0,3,14,7,100,25,2,1,0.8,58.345141,58.345141
28,Fruit & Fibre Dates; Walnuts; and Oats,Post Foods,C,120,3,2,160,5,12,10,200,25,3,1.25,0.67,40.917047,40.917047
29,Fruitful Bran,Kelloggs,C,120,3,0,240,5,14,12,190,25,3,1.33,0.67,41.015492,41.015492
30,Fruity Pebbles,Post Foods,C,110,1,1,135,0,13,12,25,25,2,1,0.75,28.025765,
31,Golden Crisp,Post Foods,C,100,2,0,45,0,11,15,40,25,1,1,0.88,35.252444,
32,Golden Grahams,General Mills,C,110,1,1,280,0,15,9,45,25,2,1,0.75,23.804043,
33,Grape Nuts Flakes,Post Foods,C,100,3,1,140,3,15,5,85,25,3,1,0.88,52.076897,
